,tournament,eventName,player1,player2,player1_odds,player2_odds,eventdate,lastupdate
108,ITF Men,P. Nad/P. B. Privara vs D. Biljesko/K. Kivattsev,P. Nad/P. B. Privara,D. Biljesko/K. Kivattsev,2.05,1.65,2022-11-30 19:15,2022-11-30 19:15
109,ITF Women,Anna Ureke (RUS) vs YuvsYun Li (TPE),Anna Ureke (RUS),Yu-Yun Li (TPE),1.5,2.35,2022-11-30 06:45,2022-11-30 06:45
110,ITF Women,Valerija Maija Kargina (LAT) vs Andrea Obradovic (SRB),Valerija Maija Kargina (LAT),Andrea Obradovic (SRB),3.9,1.2,2022-11-30 06:45,2022-11-30 06:45
111,ITF Women,Beatris Spasova (BUL) vs Chiara Fornasieri (ITA),Beatris Spasova (BUL),Chiara Fornasieri (ITA),3.5,1.25,2022-11-30 06:45,2022-11-30 06:45
112,ITF Women,Iulia Andreea Ionescu (ROU) vs Valeriia Olianovskaia (RUS),Iulia Andreea Ionescu (ROU),Valeriia Olianovskaia (RUS),7.25,1.05,2022-11-30 08:45,2022-11-30 08:45
113,ITF Women,Ilay Yoruk (TUR) vs Benedetta Ortenzi (ITA),Ilay Yoruk (TUR),Benedetta Ortenzi (ITA),1.05,7.25,2022-11-30 08:45,2022-11-30 08:45
114,ITF Women,Leyla Nilufer Elmas (TUR) vs Mayuka Aikawa (JPN),Leyla Nilufer Elmas (TUR),Mayuka Aikawa (JPN),6.5,1.07,2022-11-30 08:45,2022-11-30 08:45
115,ITF Women,Emma Lene (FRA) vs Marta Soriano Santiago (ESP),Emma Lene (FRA),Marta Soriano Santiago (ESP),1.53,2.3,2022-11-30 08:45,2022-11-30 08:45
116,ITF Women,Linda Sevcikova (CZE) vs Madelief Hageman (NED),Linda Sevcikova (CZE),Madelief Hageman (NED),1.25,3.5,2022-11-30 10:45,2022-11-30 10:45
117,ITF Women,Defne Cirpanli (TUR) vs Noka Juric (SLO),Defne Cirpanli (TUR),Noka Juric (SLO),2.65,1.4,2022-11-30 10:45,2022-11-30 10:45
118,ITF Women,Natalija Senic (SRB) vs Laura Svatikova (SVK),Natalija Senic (SRB),Laura Svatikova (SVK),1.22,3.75,2022-11-30 10:45,2022-11-30 10:45
119,ITF Women,Aminata Sall (FRA) vs Elizaveta Morozova (RUS),Aminata Sall (FRA),Elizaveta Morozova (RUS),1.85,1.83,2022-11-30 10:15,2022-11-30 10:15
120,ITF Women,Oceane Babel (FRA) vs Georgina Hays (GBR),Oceane Babel (FRA),Georgina Hays (GBR),1.03,8.25,2022-11-30 10:15,2022-11-30 10:15
121,ITF Women,Iveta Dapkute (LTU) vs Yelyzaveta Kotliar (UKR),Iveta Dapkute (LTU),Yelyzaveta Kotliar (UKR),1.78,1.9,2022-11-30 12:15,2022-11-30 12:15
122,ITF Women,Chanel Janssen (NED) vs Helena Mohamed (FRA),Chanel Janssen (NED),Helena Mohamed (FRA),2.6,1.42,2022-11-30 12:15,2022-11-30 12:15
123,ITF Women,Amira Benaissa (ALG) vs Julita Saner (SWE),Amira Benaissa (ALG),Julita Saner (SWE),4.6,1.14,2022-11-30 14:15,2022-11-30 14:15
124,ITF Women,Marie Weckerle (LUX) vs Celia Cervino Ruiz (ESP),Marie Weckerle (LUX),Celia Cervino Ruiz (ESP),6.5,1.07,2022-11-30 14:15,2022-11-30 14:15
125,ITF Women,Natalia Siedliska (GER) vs Pauline Courcoux (FRA),Natalia Siedliska (GER),Pauline Courcoux (FRA),1.25,3.5,2022-11-30 16:15,2022-11-30 16:15
126,ITF Women,P.vsC. Lee/M. V. Viviani vs M. Dzjachangirova/B. L. Pirtac,P.-C. Lee/M. V. Viviani,M. Dzjachangirova/B. L. Pirtac,1.03,7.5,2022-11-30 16:15,2022-11-30 16:15
127,ITF Women,Maja Radenkovic (SWE) vs Emilie Lindh (GBR),Maja Radenkovic (SWE),Emilie Lindh (GBR),3.7,1.22,2022-11-30 08:45,2022-11-30 08:45
128,ITF Women,Eliessa Vanlangendonck (BEL) vs Demi Tran (NED),Eliessa Vanlangendonck (BEL),Demi Tran (NED),1.14,4.75,2022-11-30 08:45,2022-11-30 08:45
129,ITF Women,Eleni Kordolaimi (GRE) vs Chia Yi Tsao (TPE),Eleni Kordolaimi (GRE),Chia Yi Tsao (TPE),2.2,1.57,2022-11-30 08:45,2022-11-30 08:45
130,ITF Women,Magdalena Swierczynska (POL) vs Kristina Milenkovic (SUI),Magdalena Swierczynska (POL),Kristina Milenkovic (SUI),2.25,1.55,2022-11-30 10:45,2022-11-30 10:45
131,ITF Women,Hanna Vinahradava (BLR) vs Franziska Sziedat (GER),Hanna Vinahradava (BLR),Franziska Sziedat (GER),6.5,1.07,2022-11-30 10:45,2022-11-30 10:45
132,ITF Women,Chiraz Bechri (TUN) vs Emmanuelle Girard (FRA),Chiraz Bechri (TUN),Emmanuelle Girard (FRA),1.5,2.35,2022-11-30 10:45,2022-11-30 10:45
133,ITF Women,Yanni Liu (CHN) vs Zongyu Li (CHN),Yanni Liu (CHN),Zongyu Li (CHN),7.75,1.04,2022-11-30 12:45,2022-11-30 12:45
134,ITF Women,Madison Frahn (AUS) vs Zhuoxuan Bai (CHN),Madison Frahn (AUS),Zhuoxuan Bai (CHN),6.5,1.07,2022-11-30 12:45,2022-11-30 12:45
135,ITF Women,Oana Gavrila (ROU) vs Caroline Romeo (FRA),Oana Gavrila (ROU),Caroline Romeo (FRA),1.62,2.1,2022-11-30 12:45,2022-11-30 12:45
136,ITF Women,Ai Yamaguchi (JPN) vs Anouck Vrancken Peeters (NED),Ai Yamaguchi (JPN),Anouck Vrancken Peeters (NED),5.0,1.12,2022-11-30 14:45,2022-11-30 14:45
137,ITF Women,Camille Moga (FRA) vs Nadine Keller (SUI),Camille Moga (FRA),Nadine Keller (SUI),4.4,1.16,2022-11-30 14:45,2022-11-30 14:45
138,ITF Women,Dejana Radanovic (SRB) vs Natsumi Kawaguchi (JPN),Dejana Radanovic (SRB),Natsumi Kawaguchi (JPN),1.6,2.15,2022-11-30 14:45,2022-11-30 14:45
